Character,Model Radius,Rescue Time from Chair,Running Speed,Walking Speed,Crouching Speed,Crawling Speed,Decoding Time,Calibration Fail Regression,Calibration Fail Lockout,Door Opening Time,Pallet Pull Down Time,Fast Pallet Vault,Medium Pallet Vault,Slow Pallet Vault,Fast Window Vault,Slow Window Vault,Chest Opening Time,Healing Others,Healing Time when Injured,Self Heal when Downed,Footprint Duration,Hit Speed Boost Duration,Struggle Free Time,Rocket Chair Ascent Time
Batter,0.34,1,3.8,2.11,1.14,0.44,101.25,1,2,18,0.61,0.98,1.36,1.73,0.73,1.06,10,15,15,30,4,2,16,60
Forward,0.34,1,3.8,2.11,1.14,0.44,108,1,2,18,0.49,0.98,1.36,1.73,0.73,1.06,10,15,15,30,4,2,14.55,60
Mercenary,0.34,1,3.8,2.11,1.14,0.44,108,1,2,18,0.66,1.06,1.48,1.88,0.79,1.15,10,15,17.25,39,4,2,16,66.67
Coordinator,0.34,1,3.8,2.11,1.14,0.44,108,1,2,18,0.66,1.06,1.48,1.88,0.79,1.15,10,15,15,30,4,2,16,66.67
Acrobat,0.34,1,3.8,2.11,1.14,0.44,95.29,1,2,18,0.66,1.06,1.48,1.88,0.79,1.15,10,15,15,30,4,2,16,60
Lucky Guy,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,5,15,15,30,4,4,16,60
Thief,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.17,1.17,0.87,0.87,5,15,15,30,4,2,16,60
Magician,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
Doctor,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,9.09,14.29,25,4,4,16,60
Gardener,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,4,16,66.67
