角色,模型半径,椅子上被救援时长,跑动速度,走路速度,蹲行速度,爬行速度,破译时长,触电回退,触电无法破译,开门时长,放板时长,快速翻板,中速翻板,慢速翻板,快速翻窗,慢速翻窗,开箱子,治疗受伤求生者,受伤被他人治疗,倒地自我治疗,脚印持续时长,受击加速时长,挣脱气球时长,狂欢之椅起飞时长
击球手,0.34,1,3.8,2.11,1.14,0.44,101.25,1,2,18,0.61,0.98,1.36,1.73,0.73,1.06,10,15,15,30,4,2,16,60
前锋,0.34,1,3.8,2.11,1.14,0.44,108,1,2,18,0.49,0.98,1.36,1.73,0.73,1.06,10,15,15,30,4,2,14.55,60
佣兵,0.34,1,3.8,2.11,1.14,0.44,108,1,2,18,0.66,1.06,1.48,1.88,0.79,1.15,10,15,17.25,39,4,2,16,66.67
空军,0.34,1,3.8,2.11,1.14,0.44,108,1,2,18,0.66,1.06,1.48,1.88,0.79,1.15,10,15,15,30,4,2,16,66.67
杂技演员,0.34,1,3.8,2.11,1.14,0.44,95.29,1,2,18,0.66,1.06,1.48,1.88,0.79,1.15,10,15,15,30,4,2,16,60
幸运儿,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,5,15,15,30,4,4,16,60
慈善家,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.17,1.17,0.87,0.87,5,15,15,30,4,2,16,60
魔术师,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
医生,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,9.09,14.29,25,4,4,16,60
园丁,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,4,16,66.67
律师,0.34,1,3.8,2.11,1.14,0.44,70.43,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,4,16,60
冒险家,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,3,2,16,60
祭司,0.34,1,3.8,2.11,1.14,0.44,90,1,2,18,0.81,1.3,1.81,2.3,0.97,1.41,10,13.5,10.5,21,4,2,16,60
机械师,0.34,1,3.8,2.11,1.14,0.44,73.64,1,2,18,0.86,1.38,1.92,2.44,1.02,1.49,10,15,15,30,4,2,16,60
盲女,0.34,1,3.8,2.64,1.14,0.44,65.85,1,2,18,0.86,1.38,1.92,2.44,1.02,1.49,10,15,15,30,4,2,16,60
牛仔,0.34,1,3.8,2.11,1.14,0.44,90,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
大副,0.34,1,3.8,2.11,1.14,0.44,101.25,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,75
调香师,0.34,1,3.8,2.11,1.14,0.44,81,3,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,17.25,34.5,4,2,16,60
舞女,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
先知,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,60
入殓师,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,15,30,4,2,16,66.67
咒术师,0.34,1,3.8,2.11,1.14,0.44,81,1,2,18,0.73,1.17,1.63,2.07,0.87,1.27,10,15,18,36,4,2,16,60
